영업자시작일,업종명,업태명,업소명,소재지(도로명),소재지(지번)
2019-06-20,일반음식점,호프/통닭,신꼬끼오,"서울특별시 동대문구 전농로19길 5 (전농동,(전농시장1길1))",서울특별시 동대문구 전농동 60-81 (전농시장1길1) 
2018-05-11,일반음식점,분식,미락분식,"서울특별시 동대문구 천호대로 241, 101동 10호 (답십리동, 벽산메가트리움)",서울특별시 동대문구 답십리동 999 벽산메가트리움 101동 10호
2003-04-11,일반음식점,한식,만나식당,"서울특별시 동대문구 장한로25길 8, 지상1층 (장안동)",서울특별시 동대문구 장안동 369-4 
1996-10-18,일반음식점,한식,자매식당,"서울특별시 동대문구 한천로 148 (장안동,(한천로148))",서울특별시 동대문구 장안동 535-2 (한천로148) 
1993-05-12,일반음식점,분식,준,"서울특별시 동대문구 홍릉로 50 (청량리동,(홍릉길 52))",서울특별시 동대문구 청량리동 366-0 (홍릉길 52) 
2003-12-31,일반음식점,한식,등촌칼국수,서울특별시 동대문구 회기로21길 38 (회기동),서울특별시 동대문구 회기동 29-2 
1993-01-09,일반음식점,호프/통닭,오아시스,"서울특별시 동대문구 망우로 81, 2층 (휘경동)",서울특별시 동대문구 휘경동 269-7 
2008-12-30,일반음식점,한식,탐스,서울특별시 동대문구 휘경로2길 5-10 (이문동),서울특별시 동대문구 이문동 305-78 
2019-12-02,일반음식점,중국식,호화양꼬치,"서울특별시 동대문구 홍릉로3길 13, 1층 (제기동)",서울특별시 동대문구 제기동 486-4 1층 
2018-04-17,일반음식점,한식,동묘삼계탕,"서울특별시 동대문구 천호대로 15-7, 1층 (신설동)",서울특별시 동대문구 신설동 102-47 
2013-04-09,일반음식점,한식,동경,"서울특별시 동대문구 왕산로 17-12, 1층 (신설동)",서울특별시 동대문구 신설동 73-2 1층 
2000-10-05,일반음식점,한식,화통구이,"서울특별시 동대문구 천호대로85길 7, 1층 (장안동)",서울특별시 동대문구 장안동 433-22 1층 
2000-07-27,일반음식점,중국식,오리명가,"서울특별시 동대문구 한천로24길 67, 1층 (장안동)",서울특별시 동대문구 장안동 382-7 1층 
2010-03-10,일반음식점,한식,원보리골,"서울특별시 동대문구 장한로 35 (장안동,(장한로 35))",서울특별시 동대문구 장안동 430-5 (장한로 35) 
2001-10-24,일반음식점,한식,굴마을,서울특별시 동대문구 장한로2길 52 (장안동),서울특별시 동대문구 장안동 465-6 
2016-04-14,일반음식점,한식,아비꼬경희대점,"서울특별시 동대문구 경희대로3길 5, 1층 (회기동)",서울특별시 동대문구 회기동 42-81 1층 
2011-11-10,일반음식점,한식,마리채 경희대점,"서울특별시 동대문구 회기로13길 6, 1층 (회기동)",서울특별시 동대문구 회기동 60-59 
2018-01-10,일반음식점,한식,회기족발,서울특별시 동대문구 회기로 158 (회기동),서울특별시 동대문구 회기동 45-52 
1989-06-19,일반음식점,한식,청춘싸롱,"서울특별시 동대문구 망우로16길 5 (휘경동,(휘경중길 3))",서울특별시 동대문구 휘경동 276-48 (휘경중길 3) 
2012-08-14,일반음식점,한식,본죽,"서울특별시 동대문구 망우로21가길 4, 1층 (휘경동)",서울특별시 동대문구 휘경동 253-5 1층 
