식당명,주소,메뉴
닭한마리칼국수,서울 동대문구 경희대로6길 5,"['닭한마리', '닭도리탕 중', '반계탕', '능이백숙', '능이반계탕']"
팔당포차 경희대점,서울 동대문구 경희대로1길 8-17,"['매운뼈없는닭발+계란찜', '국물뼈있는닭발+계란찜', '국물뼈없는닭발+계란찜', '국물반반닭발+계란찜', '치즈순살불닭+계란찜', '치즈닭발+계란찜', '치즈오징어볶음+계란찜', '홍합탕', '북어해장국', '얼큰뻔데기탕', '조개탕', '얼큰순두부짬뽕', '오뎅탕', '돼지김치찌개']"
이프로의 도시어부,서울 동대문구 경희대로1길 8-18 1층,"['광어', '우럭', '연어', '명태양념구이', '물회']"
코리아푸드스토리,서울 동대문구 회기로13길 21,"['생삼겹살(국내산)', '언양 한우 숯불고기', '한우 차돌박이', '한우 소고기 전골(2인)', '100% 감자전', '안동소주, 문배주, 이강주, 소주 등', '소뼈해장국(한우)', '점심 한우소뼈해장국', '점심 두루치기 덮밥', '점심 낙지전골', '점심 김치찌개', '점심 한우 소고기 전골']"
이문닭발,서울 동대문구 회기로19길 10 이문닭발,"['튤립닭발(국물)1인분', '닭목살(200g)', '통닭발(국물)1인분', '닭오돌뼈(200g)', '칼국수', '대게내장밥 ']"
명성순대국,서울 동대문구 이문로 31-2 명성순대국,"['순대국', '콩나물해장국', '선지해장국']"
압구정김밥 경희대점,서울 동대문구 경희대로 15,"['초밥 (8pcs)', '초밥 (4pcs)', '누드참치김밥과 감자볼', '누드치즈김밥과 감자볼', '누드김치김밥과 감자볼', '크런치, 날치알롤 (1접시)']"
역전할머니맥주 경희대점,서울 동대문구 경희대로1길 7,"['오징어입', '먹태', '버터구이오징어', '통통오다리', '한치', '반건조오징어', '아귀포', '노가리', '참쥐포', '훈제치킨', '마른오징어']"
서울우담냉채족발,서울 동대문구 경희대로1가길 39,"['우담 냉채족발', '우담 수육왕족발', '우담 철판양파보쌈', '우담 매운양념족발']"
화이트캣,서울 동대문구 회기로13길 21,"['파스타', '피자', '비프텐더로인 스테이크', '샐러드', '샥슈카', '뢰스티', '화이트캣 깐풍기']"
뉴델리,서울 동대문구 경희대로6길 5 2층 뉴델리,"['탄두리 치킨 한마리 (4PCS)', '치킨 마크니', '램 도 피아자', '팔락파니르', '플레인 난', '프라운 브리야니', '런치세트A', '런치세트B']"
생도야지세상,서울 동대문구 경희대로3길 22,"['생삼겹살', '생목살', '항정살', '안창살', '갈매기살']"
더블유,서울 동대문구 회기로13길 25,[]
꽃돼지무한삼겹,서울 동대문구 회기로19길 11,['무한리필']
아이지엔빙,서울 동대문구 회기로21길 14,"['지엔빙,냉면구이']"
요거프레소 경희대점,서울 동대문구 경희대로3길 21,['커피']
79번지국수집,서울 동대문구 회기로13길 25,"['닭칼국수', '초계국수', '닭국수', '김치말이온국수', '김치말이냉국수', '콩국수', '코다리비빔국수', '비빔국수', '닭곰탕', '고기김치전', '고기완자전', '감자해물파전']"
얌샘김밥 회기역점,서울 동대문구 망우로 81,"['얌샘김밥', '라돈모다기', '날치알톡톡김밥', '참치샐러드김밥', '차돌된장찌개비빔밥', '돈까스김치오므라이스', '생등심돈까스', '치즈돈까스', '바싹불고기덮밥']"
불타는닭갈비경희대점,서울 동대문구 회기로21길 4,"['닭갈비', '치즈닭갈비', '낙지닭갈비']"
오뚝식당,서울 동대문구 회기로26길 14 1층,"['새우로제뽕', '곱창떡볶이', '오향장육', '트러플된장술밥', '소곱창구이', '항정수육', '스지전골', '양지국수', '곱창국수', '꿀토마토', '브리치즈구이', '양념생굴', '소곱창토마토스튜']"
버무리떡볶이 경희대점,서울 동대문구 경희대로 5,"['매운맛/순한맛 떡볶이', '튀김', '순대', '철판만두', '꼬마김밥 5줄', '계란말이김밥 2줄', '왕새우튀김 3개', '고추튀김 3개', '주먹밥', '우동', '쫄면']"
찌개장터,서울 동대문구 회기로21길 13,"['생고기 김치찌개', '참치 김치찌개', '꽁치 김치찌개', '햄소세지 김치찌개', '생고기 김치찜(2인)', '고등어 김치찜(2인)', '왕계란말이', '직화제육볶음', '모듬 김치찌개(고기+햄+떡+만두+라면)(2인)']"
여기가좋겠네,서울 동대문구 회기로21길 25 1층,"['닭볶음탕 소', '고기떡볶이', '뼈없는찜닭 소']"
썬더치킨 경희대점,서울 동대문구 이문로 31,"['후라이드', '양념치킨']"
