식당명,주소,메뉴
신룽푸마라탕 경희대입구점,서울 동대문구 경희대로6길 3-10,"['마라탕', '마라샹궈', '마라반', '꿔바로우(대)', '마라롱샤']"
남원추어탕 다두락,서울 동대문구 회기로 160-1 1~2층,[]
사시미래,서울 동대문구 경희대로4길 76,"['숙성사시미 1인', '숙성사시미 2인', '숙성사시미 3인']"
프라자호프,서울 동대문구 경희대로4길 64,[]
블루차이나,서울 동대문구 회기로 116 1층(회기동),[]
가장맛있는족발 경희대점,서울 동대문구 회기로 152,"['족발(뒷발 中)', '족발(앞발 大)', '흑마늘족발(뒷발 中)', '흑마늘족발(앞발 大)', '허니 마늘족발(뒷발 中)', '허니 마늘족발(앞발 大)', '바베큐 마늘족발(뒷발 中)', '바베큐 마늘족발(앞발 大)', '직화불족발(뒷발 中)', '직화불족발(앞발 大)', '보쌈 大', '냉채족발', '반반족발(족발+불족)(뒷발 中)', '반반족발(족발+불족)(앞발 大)', '가족의족보(족발+보쌈)(뒷발 中)']"
빨간집포차,서울 동대문구 회기로21길 9,"['계란말이, 똥집, 오돌뼈, 오뎅탕', '두부김치, 돼지찌개, 한치, 먹태', '대하구이, 오징어볶음, 꼼장어, 닭발', '닭볶음탕']"
플렉스빌,서울 동대문구 회기로21길 6 지하,"['레드와인', '치즈플래터', '하우스와인', '화이트와인', '스파클링와인', '하몽x메론', '칵테일', '뱅쇼', '브리치즈구이', '감바스알아히요', '토마토 카프레제', '참치 카나페', '순살고추치킨', '버팔로윙', '쥐포']"
JB파스타,서울 동대문구 회기로25길 18,"['고르곤졸라', '마르게리따', '루꼴라(매콤)', '뽀모도로', '아라비아따', '알리오올리오', '봉골레', '까르보나라오리지널', '엔쵸비', '풍기', '까르보나라', '감베로니']"
해나루초밥,서울 동대문구 경희대로 3-1,"['모듬초밥 10p+우동', '커플초밥20p+식사+면+새우튀김2p+콘치즈', '레이디초밥 12p+우동', '특선초밥 12p+우동', '스페살초밥14p+우동+새우튀김', '모둠직화 불초밥 12p']"
불란서삼겹살 경희대점,서울 동대문구 경희대로4길 8,"['훈연그릴삼겹살(무한리필)', '숙성통삼겹살(무한리필)', '불란서쫄면', '마녀떡볶이', '불란서부대찌개(2인이상)', '포크고기냉면SET', '물냉면/비빔냉면', '볶음밥', '공기밥']"
남도식당,서울 동대문구 이문로 17-26,[]
서봉포차 본점,서울 동대문구 회기로 146-1,"['가리비구이', '꼬막', '석화', '햄김치전골', '매운김치오뎅탕', '서봉조개탕', '낚지볶음소면', '양푼골뱅이소면', '왕치즈계란말이']"
석호닭한마리,서울 동대문구 회기로16길 5-1,[]
라무진 회기점,서울 동대문구 회기로23길 6,"['양갈비', '하이볼', '프렌치랙', '양고기']"
들개,서울 동대문구 경희대로1길 13,[]
닭발매운맛에미쳐,서울 동대문구 회기로21길 3,"['통뼈직화닭발', '무뼈직화닭발', '통뼈국물닭발', '무뼈국물닭발', '오돌뼈 (매운맛,중간맛 선택가능', '통뼈닭발+오돌뼈+계란찜+주먹밥', '무뼈닭발+오돌뼈+계란찜+주먹밥', '통뼈국물닭발+계란찜+주먹밥+쿨피스', '무뼈국물닭발+계란찜+주먹밥+쿨피스', '대왕계란말이', '황도', '연어샐러드', '감바스', '바지락술찜', '얼큰소불고기버섯전골']"
모나코,서울 동대문구 회기로13길 18,[]
인생소곱창 회기본점,서울 동대문구 회기로21길 9 1층 인생소곱창,"['인생한우곱창 (230g)', '모듬곱창 (530g)', '인생대창  (200g)', '막창  (200g)', '우삼겹  (200g)', '염통 (200g)', '주먹밥']"
강호원룸,서울 동대문구 회기로12길 14,[]
맵당 경희대점,서울 동대문구 경희대로3길 22 2층 맵당,"['매운갈비찜 (1인분)', '통오징어사리', '네모도시락', '마요네즈참치주먹밥', '셀프주먹밥', '치즈사리/물만두사리(15pcs)', '각종사리', '셀프볶음밥', '계란찜', '치즈계란찜', '감자튀김치즈퐁듀']"
교촌치킨 경희대점,서울 동대문구 경희대로3길 20,"['교촌오리지날', '교촌레드오리지날', '교촌허니오리지날', '교촌반반오리지날', '교촌라이스세트', '교촌살살치킨', '교촌소이살살', '교촌살살미니', '교촌후라이드']"
탕화쿵푸마라탕,서울 동대문구 경희대로 5,"['마라탕 100g', '마라향궈 100g', '꿔바로우', '마라반', '볶음면', '전병(2장)']"
저스트비,서울 동대문구 회기로23길 57,"['아메리카노(매장이용)', '싱글오리진(매장이용)', '카페라떼(매장이용)', '바닐라라떼(매장이용)', '카페모카(매장이용)']"
커피블랑,서울 동대문구 회기로19길 16 1층 커피블랑,"['죠리퐁 크러쉬', '아포가토', '아이스 아메리카노', '수제오미자에이드', '딸기 요거트 스무디', '청포도 에이드', '마쉬멜로우 초코라떼 아이스']"
낙원스낵 경희대점,서울 동대문구 경희대로1길 15,"['하프', '빙맥', '바질페스토', '허니포테이토', '베이컨체다치즈', '페페로니', '불고기', '하와이안', '스파이시할라피뇨', '치즈', '마약옥수수', '윙앤칩스', '그릴드소세지', '낙원프라이즈', '슬라이스']"
그릭데이 경희대점,서울 동대문구 회기로23가길 22 1층 그릭데이,['요거트']
공릉동원조멸치국수 경희대점,서울 동대문구 경희대로 16,"['멸치국수', '비빔국수', '칼국수', '수제비/칼제비', '얼큰칼국수', '칼만두', '만두국/떡만두국', '김치만두 (3개)', '고기만두 (3개)']"
쭈꾸미본색,서울 동대문구 회기로21길 23,"['불향쭈꾸미', '철판쭈꾸미', '철판차돌쭈꾸미', '블랙피자세트', '불향제육', '철판삼겹쭈꾸미', '불향쭈꾸미정식(점심특선)', '쭈삼겹철판정식(점심특선)']"
냠냠분식,서울 동대문구 경희대로3길 38,"['김치볶음밥', '참치김치볶음밥', '제육덮밥']"
"진키친x밤엔,술집",서울 동대문구 회기로21길 8 1층 진키친,"['가라아게정식', '부타가쿠니(간장삼겹)', '오므라이스', '오차즈케(명란구이)', '간장새우', '간장연어']"
미연마라탕,서울 동대문구 경희대로1가길 4,"['꿔바로우', '위샹러우쓰', '향라새우', '마파두부', '토마토계란', '햘라러우쓰']"
그레이스,서울 동대문구 경희대로1길 18 2층,"['위스키', '보드카', '맥주', '칵테일']"
쿠웨이트떡볶이 회기점,"서울 동대문구 이문로1길 8-13 1,2층","['오일세트', '쿠웨이트세트2', '쿠웨이트떡볶이', '오뎅탕', '쿠웨이트김밥', '튀김한소쿠리']"
빅문,서울 동대문구 회기로26길 6 지하층,"['제리 치즈케이크', '수제생맥주 6종', '레드락', '감바스파스타', '스모어', '하울 플래터']"
밥은화 경희대점,서울 동대문구 경희대로6길 3-2 지하 밥은화,"['돼지숙주', '스팸마요', '참치마요', '치킨마요', '제육덮밥', '쭈꾸미숙주', '숙주라면', '치킨까스', '한입만두', '통새우볼', '닭껍질교자', '매콤황태숙주']"
카페 드넬,"서울 동대문구 회기로19길 23 유경빌딩 1층, 지하1층","['아인슈페너', '크림라떼', '아메리카노', '코코넛커피스무디', '아메리카노 사이즈업', '카페라떼', '카페라떼 사이즈업', '아이리쉬 라떼', '바닐라라떼', '카라멜 마끼아또', '도피오 마끼아또', '말차라떼', '초코라떼', '밀크티', '아이스티']"
에그드랍 경희대점,서울 동대문구 경희대로4길 1,"['미스터 에그', '베이컨 더블 치즈', '아메리칸 햄 치즈', '데리야끼 바베큐', '갈릭 베이컨 치즈', '아보홀릭']"
스시훈,서울 동대문구 경희대로3길 27,"['오늘의초밥', '훈모듬초밥', '특선모듬초밥', '광어초밥', '연어초밥']"
국내산 귀한족발 회기점,서울 동대문구 회기로 162-1,[]
따띠삼겹 회기점,서울 동대문구 이문로 39 1층,"['간딴삼겹', '간딴삼겹 곱배기', '간딴삼겹 고기만', '고기 추가']"
순자카페,서울 동대문구 회기로16길 5 1층 순자카페,"['고창복분자 라떼/에이드', '1리터아메리카노', '마카롱', '아메리카노', '카페라떼', '바닐라라떼', '카페모카', '카라멜라떼', '달고나 라떼', '달고나 카페라떼', '달고나 밀크티', '더치 아메리카노', '더치 라떼', '플레인요거트스무디', '딸기요거트스무디']"
키친요로시쿠,서울 동대문구 경희대로6길 4,"['치킨 카라아게', '치킨 난반', '밀푀유 치즈돈가스', '쇼가야끼', '사케동']"
시기네,서울 동대문구 회기로26길 6 1층,"['시기네 사시미', '시기네 술국', '아라비아따 스튜', '1인 사시미', '우니 반판 사시미', '메로 스테이크', '시메사바', '10월 생굴베사멜크림고로케', '10월 매콤와규버섯전골', '10월 지중해감성 가리비찜', '10월 와규스키야키', '10월 제철낙지대패삼겹']"
리후찬팅,서울 동대문구 회기로 137 회기파출소맞은편,"['꿔바러우', '해물마라탕', '해물볶음면', '해물짬뽕', '중국냉면', '탕수육', '해물 파면', '유린지', '토마토소고기탕면']"
도시락파스타,서울 동대문구 회기로19길 18 2층,"['알리오 올리오', '포모도로', '알프레도', '까르보나라', '감베띠에 까비알레(날치알새우크림)', '감베띠에 할라피뇨(새우할라피뇨)', '아마트리치아나', '봉골레', '푸타네스카', '네로(오징어먹물파스타)', '크림스테이크파스타', '토마토스테이크파스타', '로제파스타(치킨,새우,아라비아따)', '스테이크샐러드', '외에도 20가지 넘는 메뉴가 다양하게 있습니다']"
부리또인 경희대점,서울 동대문구 회기로19길 18 1층,"['모짜렐라 부리또', '음료사이드세트(베이직+사이드1+음료1)', '베이직 부리또', '감자부리또', '더블치즈 부리또', '치킨텐더 부리또', '새우부리또', '소시지 부리또', '감자튀김(사이드)', '새우튀김(사이드)', '치킨텐더(사이드)', '치즈스틱(사이드)', '체다치즈 후라이즈', '에그부리또', '소고기 부리또']"
바나프레소 회기역사거리점,서울 동대문구 회기로 176,['시그니처 크리미라떼']
꼴목 경희대점,서울 동대문구 경희대로1길 8-13 1층,"['매운갈비찜', '오돌뼈&주먹밥', '닭발(무뼈)주먹밥', '통돼지철판구이', '조개탕', '돼지부추볶음', '순대볶음', '삼치구이', '연탄불고기', '파인애플한통', '설탕토마토']"
꿀집포차,서울 동대문구 경희대로1길 8-13 2층,"['미정이(불닭볶음면+갈비삼겹/떡삼)', '육회', '순두부육개장전골', '2인한상', '콘치즈무뼈닭발', '김치우동나베', '어묵탕', '치즈계란말이', '치즈불닭', '해물라면', '차돌숙주볶음', '얼큰짬뽕탕', '양푼돼지김치찌개', '흑당빙수', '망고빙수']"
얼땅쟈,서울 동대문구 경희대로1길 8-7 2층,"['꼬챙이', '모든탕', '연태고량(중)', '연태고량(대)', '강소백 ', '로주탄(중)', '로주탄(대)', '카스/테라', '처음처럼/참이슬', '칭따오 ', '콜라/사이다', '중국음료수 ', '초록색벅스', '노랑색벅스', '주황색벅스 ']"
바나프레소 경희대점,서울 동대문구 경희대로4길 1,['시그니처 크리미라떼']
사리원돼지국밥 경희대직영점,"서울 동대문구 경희대로 9 ,2층 사리원 돼지국밥",['돼지국밥']
더 벙커 보드게임카페,서울 동대문구 회기로21길 34 지층 더 벙커,"['보드게임 1 시간', '보드게임 30분', '보드게임 15분', '음료&간식']"
에잇올리,서울 동대문구 경희대로6길 3-2 1층,"['슈퍼말차라떼', '아메리카노', '라떼', '카푸치노', '바닐라라떼', '아인슈페너', '초코아인슈페너', '크림브륄레 슈페너', '발로나 더블핫초코', '발로나체리핫초코', '부라타토마토파스타', '베이컨크림페투치니', '알리오올리오스파게티', '매콤치킨로제스파게티', '치킨시저샐러드']"
뚱보집 경희대점,서울 동대문구 경희대로1가길 3,"['벌집껍데기 160g', '고기모듬 400g', '모소리살 120g', '가오리살 120g', '꼬들살 120g', '오겹살 120g']"
코지인무르무르,서울 동대문구 회기로 139 2층,"['바질&토마토', '스캘럽&쉬림프', '파스타마르게리타', '트러플크림파스타 ', '이베리코통목살스테이크']"
인생설렁탕 경희대점,서울 동대문구 경희대로 9-1 1층,"['인생설렁탕', '옛날 불고기', '스지설렁탕', '시래기된장설렁탕', '얼큰수육전골', '불스지', '물국수', '비빔국수', '육쌈밀전', '만두', '곱창전골']"
놀스캘리,서울 동대문구 경희대로1가길 42 1층,"['연어롤', '구운연어롤', '새우튀김롤', '연어크림치즈롤']"
만권화밥 경희대점,서울 동대문구 경희대로 23 전면플라자 문화복지센터 1층,[]
미플 보드게임,서울 동대문구 회기로 150 B1,"['1시간', '15분', '종일 요금제 (음료포함)', '캔음료', '스낵']"
카페 드넬,"서울 동대문구 회기로19길 23 유경빌딩 1층, 지하1층","['아인슈페너', '크림라떼', '아메리카노', '코코넛커피스무디', '아메리카노 사이즈업', '카페라떼', '카페라떼 사이즈업', '아이리쉬 라떼', '바닐라라떼', '카라멜 마끼아또', '도피오 마끼아또', '말차라떼', '초코라떼', '밀크티', '아이스티']"
카페 에이유,서울 동대문구 경희대로1가길 12,"['돌체라떼', '피주키', '아메리카노', '수제 자몽에이드', '브라우니 알라모드', '크로크무슈']"
카페몰로,서울 동대문구 회기로 163 1층,"['아보카도샌드위치', '버섯샐러드', '오렌지에이드', '크림아메리카노', 'TWG Silver moon', '앙게트', '오레오프라페', '아메리카노', '카페라떼', '아보카도리코타샐러드', '잉글리쉬브랙퍼스트', '요거트볼', '무화과 깜파뉴', '새우샌드위치']"
라온당구클럽,서울 동대문구 경희대로3길 2,[]
미스사이공 경희대점,서울 동대문구 경희대로 5-1,"['소고기 쌀국수', '분짜(Bun Cha)', '닭 쌀국수', '사이공 볶음밥', '사이공 볶음면', '숯불덮밥']"
달콤 경희의료원본관점,서울 동대문구 경희대로 23 본관1층 달콤커피 경희의료원본관점,"['아메리카노_달콤 시그니처', '큐브', '허니큐브', '베리큐브', '망고큐브', '허니몽']"
우차이,서울 동대문구 경희대로4길 5 지층,"['탕수육', '짜장면', '짬뽕', '마라짬뽕', '하얀짬뽕']"
쓰리로보스,서울 동대문구 회기로13길 20 1층,"['치킨로스트', '콜드컷 소세지', '매운홍합찜']"
호식이두마리치킨 회기점,서울 동대문구 회기로25길 16 1층 호식이두마리치킨 회기점,"['청양한 고추마요&양념마요', '간장치킨/매운간장치킨', '불짬뽕치킨뿌라이드치킨(시즈닝)', '땡초불꽃치킨', '오리지널 후라이드치킨', '양념치킨/매운양념치킨', '플라윙세트', '스윗츠갈릭치킨', '불짬뽕치킨']"
참말로좋수닭 273,서울 동대문구 회기로 160 1층 참말로좋수닭 273,"['참말로 크리스피(후라이드 신선 국내산', '순살 안심 M (국내산)', '순살 다리 M (국내산)', '순살 안심 다리 L (국내산)', '273 세트 (후라이드+순살2종+웨지감자)', '참말로 치킨류 테이크아웃. 20%할인', '참말로 양념치킨 (국내산)', '순살 다리 양념 M (국내산)', '순살 다리 양념 L (국내산)']"
은행골,서울 동대문구 회기로 155,"['특상초밥', '특선초밥', '특미초밥', '풀코스(3~4인)', '반코스(2인)']"
964커피로스터리 회기점,서울 동대문구 망우로21길 63,"['아메리카노', '라떼', '플랫화이트', '바닐라라떼', '모카', '에스프레소그린티라떼', '아인슈페너', '에스프레소바닐라라떼', '콜드브루', '콜드브루라떼', '아포가토', '레몬티', '패션후르츠티', '레몬에이드', '패션후르츠에이드']"
진이푸드,서울 동대문구 회기로 126,[]
두들이네,서울 동대문구 회기로21길 33 지하1층,"['스지 수육 (대)', '스지 수육 (중)', '새우 감빠스 10마리', '새우 감빠스 20마리', '오돌뼈', '국물떡볶이']"
왔다갔다,서울 동대문구 회기로23길 59 104호,['칵테일']
조개삼국지,서울 동대문구 회기로13길 9 2층,"['조개찜 2인', '삼국지전골 2인', '조개찜 3인', '조개찜 4인', '삐뚤이소라 초무침', '해물짬뽕']"
루트25,서울 동대문구 회기로25길 16,['오렌지주스']
60계 치킨 서울회기점,서울 동대문구 회기로 154,['치킨 가격은 매장마다 차이가 있습니다.']
알로카시아 인더테라스,서울 동대문구 회기로 123 1층 알로카시아인더테라스,"['아메리카노', 'Fresh Juice 청포도,딸빠, 빠망, 자몽, 키위', '알로카시아 드링크', '목화소다 레몬청포도, 자몽, 블루레몬', '목화 라떼 초콜릿, 딸기', '알로카시아 플라워에이드', '비타민티 레몬, 자몽, 오미자, 유자, 대추&생강', '알로카시아 프루츠 티', '화이트 라떼 밀크티, 초콜릿, 녹차, 고구마', '힐링에이드 자몽, 키위, 망고, 딸기', '러블리 아이스 딸기, 망고, 초코, 딸기치즈', '스노우 눈꽃빙수', '요거트 스무디 딸기, 망고, 블루베리', '마리아쥬 홍차 웨딩임페리얼, 마르코폴로, 얼그레이', '수프 밤&팥, 양송이, 콘치즈']"
노브랜드버거 경희대점,서울 동대문구 회기로 144,"['NBB 시그니처', '그릴드 불고기', '미트마니아', '산체스']"
배스킨라빈스 경희대,서울 동대문구 경희대로4길 2,"['싱글레귤러', '싱글킹', '더블쥬니어', '더블레귤러', '파인트', '쿼터', '패밀리', '하프갤론']"
세븐일레븐 경희대4호점,서울 동대문구 회기로 129,[]
파스쿠찌 경희의료원점,서울 동대문구 경희대로 23 본관1층,"['오리지널 드립커피 R', '오리지널 드립커피 L', '아메리카노 R', '아메리카노 L', '카페라떼 R', '카페라떼 L', '카라멜 라떼 마끼아또 R', '카라멜 라떼 마끼아또 L', '바닐라 라떼 마끼아또 R', '바닐라 라떼 마끼아또 L']"
세븐일레븐 경희대2호점,서울 동대문구 회기로 147,[]
스타벅스 회기역사거리점,서울 동대문구 이문로 37,"['카페 아메리카노', '카페 라떼', '스타벅스 돌체 라떼', '카라멜 마키아또', '카푸치노', '카페 모카', '화이트 초콜릿 모카', '콜드 브루', '자몽 허니 블랙 티', '아이스 자몽 허니 블랙 티', '망고 바나나 블렌디드', '에스프레소 프라푸치노', '자바 칩 프라푸치노']"
떼루와 회기점,서울 동대문구 이문로 29,[]
커피하이,서울 동대문구 경희대로1가길 34,"['아메리카노', '드립백 커피', '더치커피']"
배트콩,서울 동대문구 경희대로4길 52 1층 배트콩 커피숍,"['에스프레소', '아메리카노', '카페라떼', '카푸치노', '바닐라라떼', '카라멜모카', '카라멜 마끼아또', '배트라떼', '월남라떼', '정글라떼', '카페아인슈페너', '배트오렌지', '블루라떼', '더치커피', '자몽에이드']"
양자호떡 회기본점,서울 동대문구 회기로 161 1층 양자호떡 본점,"['잡채호떡', '꿀호떡', '매콤잡채호떡', '오레오 꿀호떡', '아이스크림호떡', '고구마꿀호떡', '뿌링꿀호떡 ', '인절미꿀호떡 ']"
세븐일레븐 경희의료원점,서울 동대문구 경희대로 23 경희의료원 본관 1층,[]
스타벅스 회기역사거리점,서울 동대문구 이문로 37,"['카페 아메리카노', '카페 라떼', '스타벅스 돌체 라떼', '카라멜 마키아또', '카푸치노', '카페 모카', '화이트 초콜릿 모카', '콜드 브루', '자몽 허니 블랙 티', '아이스 자몽 허니 블랙 티', '망고 바나나 블렌디드', '에스프레소 프라푸치노', '자바 칩 프라푸치노']"
너나들이 만화카페,서울 동대문구 회기로13길 19 지층 너나들이 만화카페,"['6시간 + 카페음료', '나들이 시간 요금제', '2시간 + 카페음료', '3시간 + 카페음료', '이용요금의 10% 적립', '2시간 + 카페음료 + 허니브레드 (2인)', '2시간 + 카페음료 + 라면', '2시간 + 카페음료 + 볶음밥']"
달리는커피 회기점,서울 동대문구 경희대로4길 74,"['에스프레소', '아메리카노', '카페라떼/카푸치노', '바닐라라떼', '카페모카']"
설빙 서울 회기역점,서울 동대문구 회기로 193,['설빙']
회기마루작은도서관,서울 동대문구 경희대로3길 56 연화사법당,[]
카페 오크라,서울 동대문구 회기로21길 26,[]
GS25 경희원룸점,서울 동대문구 이문로3길 66,[]
더착한커피 경희대점,서울 동대문구 경희대로 23 전면플라자 문화복지센터 1층,[]
스터디빈 카페,서울 동대문구 회기로21길 34,[]
마시그래이 경희대점,서울 동대문구 경희대로 20,['24온즈 아메리카노']
북촌손만두 경희대점,서울 동대문구 경희대로 23 전면플라자 문화복지센터 지하1층,[]
진한커피,서울 동대문구 회기로12길 10,"['아메리카노', '티라미스라떼', '카페라떼', '치즈케익슬러시', '바닐라라떼']"
CU 카이스트점,서울 동대문구 회기로 119,[]
연희김밥 경희대점,서울 동대문구 경희대로4길 60 101호,"['오참김밥', '소고기김밥', '연희김밥', '오징어 김밥', '꼬마 김밥/오징어 꼬마김밥', '꼬장김밥 (고추 +장조림))', '오징어김밥', '장조림김밥', '참치김밥', '치즈김밥', '멸치김밥', '매콤멸치김밥', '떡갈비김밥', '매콤떡갈비김밥', '고추김밥']"
투썸플레이스 경희대점,서울 동대문구 경희대로 7-1,"['아메리카노', '아이스크림 카페 라떼', '달고나 카페 라떼', '커피젤리 카페 라떼']"
3POP PC방 경희대점,서울 동대문구 경희대로1길 8-11 지층,[]
프롬올리비아,서울 동대문구 경희대로4길 22,"['포토케이크', '플라워케이크', '오늘의 케이크', '크림꽃 장식케이크', '명품 케이크']"
스타벅스 경희대삼거리점,서울 동대문구 회기로 141,"['카페 아메리카노', '카페 라떼', '스타벅스 돌체 라떼', '카라멜 마키아또', '카푸치노', '카페 모카', '화이트 초콜릿 모카', '콜드 브루', '자몽 허니 블랙 티', '아이스 자몽 허니 블랙 티', '망고 바나나 블렌디드', '에스프레소 프라푸치노', '자바 칩 프라푸치노']"
아이닉스PC방,서울 동대문구 경희대로 2,[]
백씨네콩다방,서울 동대문구 회기로21길 3 2층,"['아메리카노', '유기농티', '수제레몬차']"
GS25 경희점,서울 동대문구 경희대로3길 2,[]
파파독스,서울 동대문구 회기로 151,['입장료+음료']
GS25 경희대학사점,서울 동대문구 경희대로 26 서울캠퍼스 공공기숙사1층,[]
이디야커피 경희대점,서울 동대문구 경희대로 4,"['카페 아메리카노', '카페 라떼', '바닐라 라떼', '토피 넛 라떼']"
그라찌에 경희대행복기숙사점,서울 동대문구 경희대로 26,[]
퀴즈노스 경희의료원점,"서울 동대문구 경희대로 23 경희의료원부속동 전면프라자 1층 2,3호","['트레디셔널(R) 샌드위치', '블랙 앵거스 & 트러플 스테이크', '이탈리안(R) 샌드위치', '더블 베이컨 비엘티(R) 샌드위치', '리코타 베지 & 아보카도(R) 샌드위치', '치폴레 쉬림프(R) 샌드위치', '불고기 스테이크 & 김치', '더블 치즈 스테이크(R) 샌드위치', '제스티 그릴드 스테이크(R) 샌드위치', '치킨 까르보나라(R) 샌드위치', '치킨 베이컨 랜치(R) 샌드위치', '허니 머스타드 치킨(R) 샌드위치', '크레이지 핫 치킨(R) 샌드위치', '제스티 & 버번 치킨', '터키 & 아보카도(R) 샌드위치']"
아마스빈 경희대점,서울 동대문구 경희대로 6,"['아메리카노', '바닐라 아메리카노', '헤이즐럿 아메리카노', '카페라떼', '바닐라라떼']"
세븐일레븐 회기해피파크점,서울 동대문구 이문로 19,[]
세븐일레븐 경희대대현점,서울 동대문구 회기로 163,[]
경희대학교 경영대카페,서울 동대문구 경희대로 26,[]
경희대학교간호이과대카페,서울 동대문구 경희대로 26,"['에스프레소', '아메리카노', '초코라떼', '그린티라떼', '레몬에이드']"
CU 경희원룸점,서울 동대문구 회기로18길 12 1층,[]
녹원,서울 동대문구 경희대로 14 지하 1층,"['녹원 양갱', '석류국화차', '순수레몬홍차', '오후 12시차', '오후 3시차', '저녁 6시차', '흑임자꼬숩이', '쑥꼬숩이', '보은 대추차', '모과차', '미숫가루']"
컴투레스트,서울 동대문구 회기로 161-11 1층,"['아메리카노', '라떼', '쑥-라떼', '드립커피', '아인쑥페너', '말차테린느', '치즈테린느', '흑임자치즈케이크']"
파스쿠찌 경희의료원키오스크점,서울 동대문구 경희대로 26 경희의료원 후마니스타스 암병원 1층,['아메리카노']
랭스터디카페 경희대점,서울 동대문구 회기로 163 2층 랭스터디카페 경희대점,"['1시간권', '아메리카노']"
긱스타 PC CAFE,서울 동대문구 경희대로1길 8-6,[]
GS25 청량현대점,서울 동대문구 이문로1길 21,[]
그옛날1947왕만두 경희대점,서울 동대문구 회기로 171-2,"['고기왕만두5개', '김치왕만두5개', '고기통만두8개', '김치통만두8개', '옛날찐빵5개', '반반통만두 8개', '모듬만두 9개', '새우만두 5개', '구운만두 8개']"
3S PC방,서울 동대문구 경희대로1길 10,[]
CU 경희대점,서울 동대문구 경희대로4길 15,[]
달콤커피 경희의료원점,서울 동대문구 경희대로 23 경희의료원 부속동 지상 2층 달콤커피 경희의료원점,"['아메리카노 시그니처', 'ICE 큐브', 'ICE / HOT 허니몽', '베리큐브/허니큐브', '말차큐브/말차카페큐브', '망고큐브', '흑당 아인슈페너']"
해피니스디저트,서울 동대문구 경희대로 9-1 Happiness Dessert 妖开心甜品,"['버블 밀크티', '솽피나이(홍콩식 우유푸딩) 双皮奶', '크렘 브륄레 [creme brulee] 焦糖布蕾', '두유 케이크 豆乳盒子', '빤지(홍콩식 팬케이크) 班戟', '코코넛 푸딩 椰奶冻', '딴황수 蛋黄酥', '양즈간루 杨枝甘露', '아메리카노', '위위안(대만식 토란떡 녹은빙수) 芋圆', '모찌 雪媚娘', '로우쏭 샤우베이 肉松小贝']"
팔공티 경희대점,서울 동대문구 경희대로4길 2 1층 팔공티,"['밀크티', '홍차', '우롱티', '레몬 블랙티', '아메리카노']"
언에브릴,서울 동대문구 회기로26길 22 1층,"['휘낭시에', '케이크', '레몬위크엔드', '스콘']"
GS25 경희의대점,서울 동대문구 회기로23가길 21 1층(회기동 3-4),[]
호이차 회기역점,서울 동대문구 회기로 157 1층 호이차,"['흑당버블티', '쿠앤쿠스무디', '치즈폼 블랙밀크티', '블랙밀크티+펄', '라지 사이즈 커피', '초코 / 타로 / 말차 버블티', '흑당밀크 / 흑당버블티', '흑당초코 / 흑당타로 / 흑당말차', '치즈폼 + 블랙밀크티 +펄', '치즈폼 + 초코/타로/말차 버블티', '오리지널티', '블렌딩 티', '히비스커스애플티 / 유자애플그린티', '19곡물 라떼', '말차샷라떼']"
아이센스리그PC 경희대본점,서울 동대문구 경희대로1가길 4,[]
내가쉐프라면 경희대1호점,서울 동대문구 이문로 37,[]
Cafe H,서울 동대문구 회기로23가길 53,['아메리카노']
양자호떡 회기본점,서울 동대문구 회기로 161 1층 양자호떡 본점,"['잡채호떡', '꿀호떡', '매콤잡채호떡', '오레오 꿀호떡', '아이스크림호떡', '고구마꿀호떡', '뿌링꿀호떡 ', '인절미꿀호떡 ']"
세븐일레븐 경희의료원점,서울 동대문구 경희대로 23 경희의료원 본관 1층,[]
스타벅스 회기역사거리점,서울 동대문구 이문로 37,"['카페 아메리카노', '카페 라떼', '스타벅스 돌체 라떼', '카라멜 마키아또', '카푸치노', '카페 모카', '화이트 초콜릿 모카', '콜드 브루', '자몽 허니 블랙 티', '아이스 자몽 허니 블랙 티', '망고 바나나 블렌디드', '에스프레소 프라푸치노', '자바 칩 프라푸치노']"
너나들이 만화카페,서울 동대문구 회기로13길 19 지층 너나들이 만화카페,"['6시간 + 카페음료', '나들이 시간 요금제', '2시간 + 카페음료', '3시간 + 카페음료', '이용요금의 10% 적립', '2시간 + 카페음료 + 허니브레드 (2인)', '2시간 + 카페음료 + 라면', '2시간 + 카페음료 + 볶음밥']"
달리는커피 회기점,서울 동대문구 경희대로4길 74,"['에스프레소', '아메리카노', '카페라떼/카푸치노', '바닐라라떼', '카페모카']"
설빙 서울 회기역점,서울 동대문구 회기로 193,['설빙']
회기마루작은도서관,서울 동대문구 경희대로3길 56 연화사법당,[]
카페 오크라,서울 동대문구 회기로21길 26,[]
GS25 경희원룸점,서울 동대문구 이문로3길 66,[]
더착한커피 경희대점,서울 동대문구 경희대로 23 전면플라자 문화복지센터 1층,[]
스터디빈 카페,서울 동대문구 회기로21길 34,[]
마시그래이 경희대점,서울 동대문구 경희대로 20,['24온즈 아메리카노']
북촌손만두 경희대점,서울 동대문구 경희대로 23 전면플라자 문화복지센터 지하1층,[]
진한커피,서울 동대문구 회기로12길 10,"['아메리카노', '티라미스라떼', '카페라떼', '치즈케익슬러시', '바닐라라떼']"
CU 카이스트점,서울 동대문구 회기로 119,[]
